KEYWORD_STRING      string
IDENTIFIER          x
COMMA               ,
IDENTIFIER          f53
COMMA               ,
IDENTIFIER          ai
SEMICOLON           ;
IDENTIFIER          x
OP_ASSIGNMENT       =
STRING              "n"
SEMICOLON           ;
IDENTIFIER          f53
OP_ASSIGNMENT       =
STRING              "swp"
SEMICOLON           ;
IDENTIFIER          ai
OP_ASSIGNMENT       =
STRING              "n"
SEMICOLON           ;
IDENTIFIER          x
OP_ASSIGNMENT       =
STRING              "ymp"
OP_REPEAT           *
NUMBER              7
OP_REPEAT           *
NUMBER              4
OP_CONCAT           +
IDENTIFIER          f53
OP_REPEAT           *
NUMBER              4
OP_REPEAT           *
NUMBER              8
OP_REPEAT           *
NUMBER              3
SEMICOLON           ;
KEYWORD_IF          if
LEFT_BRACKET        (
IDENTIFIER          ai
OP_CONCAT           +
STRING              "uer"
OP_LESS_EQUAL       <=
IDENTIFIER          x
RIGHT_BRACKET       )
IDENTIFIER          f53
OP_ASSIGNMENT       =
IDENTIFIER          x
OP_REPEAT           *
NUMBER              5
KEYWORD_ELSE        else
KEYWORD_START       start
IDENTIFIER          ai
OP_ASSIGNMENT       =
IDENTIFIER          f53
OP_REPEAT           *
NUMBER              5
SEMICOLON           ;
IDENTIFIER          ai
OP_ASSIGNMENT       =
IDENTIFIER          f53
OP_REPEAT           *
NUMBER              1
SEMICOLON           ;
KEYWORD_END         end
SEMICOLON           ;
KEYWORD_DO          do
IDENTIFIER          f53
OP_ASSIGNMENT       =
IDENTIFIER          x
OP_REPEAT           *
NUMBER              7
KEYWORD_WHILE       while
LEFT_BRACKET        (
IDENTIFIER          ai
OP_CONCAT           +
STRING              "y"
OP_GREATER_EQUAL    >=
IDENTIFIER          x
OP_REPEAT           *
NUMBER              8
RIGHT_BRACKET       )
SEMICOLON           ;
END_OF_FILE         
